id,title,description,skills,difficulty,duration_hours,resource_type,domain,is_mvp,source,url,learning_outcomes
intermediate-machine-learning,Intermediate Machine Learning,"Intermediate modeling practice covering stronger preprocessing, validation, and feature workflows.",feat_eng|ml_fund,intermediate,6,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/intermediate-machine-learning,Feature Engineering; Machine Learning Fundamentals
intro-to-deep-learning,Intro to Deep Learning,A concise introduction to neural-network and deep-learning concepts.,deep_learning|neural_nets,intermediate,6,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/intro-to-deep-learning,Deep Learning; Neural Network Architectures
intro-to-machine-learning,Intro to Machine Learning,A concise introduction to core machine learning ideas and model-building workflows.,ml_fund,beginner,5,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/intro-to-machine-learning,Machine Learning Fundamentals
intro-to-sql,Intro to SQL,A beginner SQL resource for querying and working with relational data.,sql,beginner,6,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/intro-to-sql,SQL & Databases
learn-git-branching,Learn Git Branching,"Interactive practice for understanding Git branches, merges, and version-control workflows.",git,beginner,3,project,ml,true,Learn Git Branching,https://learngitbranching.js.org/,Git & Version Control
mlops-specialization,MLOps Specialization,Advanced practices for taking machine learning systems toward production and reliable operations.,mlops|deep_learning,advanced,35,course,ml,true,Coursera (DeepLearning.AI),https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Model Deployment & MLOps; Deep Learning
machine-learning-project-titanic-house-prices,Machine Learning Project (Titanic/House Prices),Project-based practice applying machine learning to a real dataset and competition-style workflow.,ml_fund|data_manip,intermediate,10,project,ml,true,Kaggle Competitions,https://www.kaggle.com/competitions,Machine Learning Fundamentals; Data Manipulation (Pandas/NumPy)
machine-learning-specialization,Machine Learning Specialization,A structured machine learning foundation covering core supervised and practical modeling concepts.,ml_fund|stats|data_manip,intermediate,40,course,ml,true,Coursera (Andrew Ng / DeepLearning.AI),https://www.coursera.org/specializations/machine-learning-introduction,Machine Learning Fundamentals; Statistics & Probability; Data Manipulation (Pandas/NumPy)
made-with-ml-mlops-course,Made With ML - MLOps Course,"Practical MLOps workflows spanning model development, evaluation, and production readiness.",mlops|ml_fund,intermediate,20,course,ml,true,Made With ML,https://madewithml.com/,Model Deployment & MLOps; Machine Learning Fundamentals
neural-networks-zero-to-hero,Neural Networks: Zero to Hero,Implementation-oriented neural network learning from fundamentals toward deeper architectures.,neural_nets|deep_learning,advanced,20,course,ml,true,Andrej Karpathy (YouTube),https://karpathy.ai/zero-to-hero.html,Neural Network Architectures; Deep Learning
numpy-fundamentals,NumPy Fundamentals,Core NumPy skills for numerical computing and array-based data manipulation in Python.,data_manip|python,beginner,3,course,ml,true,freeCodeCamp,https://www.freecodecamp.org/news/tag/numpy/,Data Manipulation (Pandas/NumPy); Python Programming
pandas-micro-course,Pandas Micro-Course,"Focused practice with Pandas for loading, transforming, and analyzing tabular datasets.",data_manip,beginner,4,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/pandas,Data Manipulation (Pandas/NumPy)
practical-deep-learning-for-coders,Practical Deep Learning for Coders,Hands-on deep learning practice with an implementation-first approach.,deep_learning|neural_nets,advanced,50,course,ml,true,fast.ai,https://course.fast.ai/,Deep Learning; Neural Network Architectures
python-for-everybody,Python for Everybody,A beginner-friendly Python foundation for learners entering programming and data work.,python,beginner,20,course,ml,true,Coursera (University of Michigan),https://www.coursera.org/specializations/python,Python Programming
relational-database-certification,Relational Database Certification,Relational database concepts and SQL-oriented application data workflows.,db_web|sql,beginner,10,course,ml,true,freeCodeCamp,https://www.freecodecamp.org/learn/relational-database/,Databases for Web Apps; SQL & Databases
sql-for-data-science,SQL for Data Science,SQL fundamentals and practical querying patterns for data analysis workflows.,sql,beginner,8,course,ml,true,Coursera (UC Davis),https://www.coursera.org/learn/sql-for-data-science,SQL & Databases
statistics-and-probability,Statistics and Probability,Foundational probability and statistics concepts needed for data and machine learning.,stats,beginner,15,course,ml,true,Khan Academy,https://www.khanacademy.org/math/statistics-probability,Statistics & Probability
statistics-with-python,Statistics with Python,Applied statistics learning that connects statistical concepts with Python-based analysis.,stats|python,intermediate,10,course,ml,true,Coursera (University of Michigan),https://www.coursera.org/specializations/statistics-with-python,Statistics & Probability; Python Programming
freecodecamp-scientific-computing-with-python,freeCodeCamp Scientific Computing with Python,Hands-on Python practice oriented toward programming and scientific computing workflows.,python|data_manip,beginner,25,course,ml,true,freeCodeCamp,https://www.freecodecamp.org/learn/scientific-computing-with-python/,Python Programming; Data Manipulation (Pandas/NumPy)
back-end-development-and-apis,Back End Development and APIs,Backend application development and API construction using JavaScript tooling.,node_express|rest_api,intermediate,20,course,web,false,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/,Node.js & Express; REST API Design
build-a-rest-api-project,Build a REST API Project,Project-based practice creating and working with a REST API.,rest_api|node_express,intermediate,8,project,web,false,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/,REST API Design; Node.js & Express
css-flexbox-and-grid,CSS Flexbox and Grid,Focused practice with modern CSS layout techniques for responsive interfaces.,html_css,beginner,4,course,web,false,freeCodeCamp,https://www.freecodecamp.org/news/tag/css-grid/,HTML & CSS
deploying-full-stack-apps,Deploying Full Stack Apps,Introductory deployment practices for taking a full-stack application online.,deploy_devops,beginner,4,course,web,false,Vercel Docs,https://vercel.com/docs,Deployment & DevOps Basics
eloquent-javascript,Eloquent JavaScript,Intermediate JavaScript learning focused on language fundamentals and practical programming.,js_fund,intermediate,15,course,web,false,eloquentjavascript.net,https://eloquentjavascript.net/,JavaScript Fundamentals
front-end-development-libraries,Front End Development Libraries,Practical frontend development with component libraries and modern JavaScript tooling.,react|js_fund,intermediate,15,course,web,false,freeCodeCamp,https://www.freecodecamp.org/learn/front-end-development-libraries/,React.js; JavaScript Fundamentals
full-stack-next-js-project,Full Stack Next.js Project,Project-based full-stack development using Next.js and related application patterns.,nextjs|react|rest_api,advanced,15,project,web,false,Vercel,https://vercel.com/templates/next.js,Next.js; React.js; REST API Design
jwt-authentication-crash-course,JWT Authentication Crash Course,Practical JSON Web Token authentication concepts for web applications and APIs.,auth_security|rest_api,intermediate,3,course,web,false,freeCodeCamp (YouTube),https://www.freecodecamp.org/news/tag/jwt/,Authentication & Security Basics; REST API Design
javascript-algorithms-and-data-structures,JavaScript Algorithms and Data Structures,JavaScript fundamentals plus algorithmic problem solving for web development.,js_fund,beginner,25,course,web,false,freeCodeCamp,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/,JavaScript Fundamentals
mongodb-basics,MongoDB Basics,Beginner introduction to document-oriented database concepts and MongoDB workflows.,db_web,beginner,6,course,web,false,MongoDB University,https://learn.mongodb.com/,Databases for Web Apps
next-js-official-learn-course,Next.js Official Learn Course,Guided learning for building modern web applications with Next.js.,nextjs|react,intermediate,10,course,web,false,Next.js Docs,https://nextjs.org/learn,Next.js; React.js
node-js-and-express-js-course,Node.js and Express.js Course,Foundational Node.js and Express skills for building backend services.,node_express,beginner,8,course,web,false,freeCodeCamp (YouTube),https://www.freecodecamp.org/news/tag/nodejs/,Node.js & Express
rest-api-design-best-practices,REST API Design Best Practices,Practical REST API design concepts for clear and maintainable backend interfaces.,rest_api,intermediate,4,course,web,false,freeCodeCamp,https://www.freecodecamp.org/news/rest-api-design-best-practices/,REST API Design
react-official-tutorial,React Official Tutorial,Core React concepts for building component-based user interfaces.,react,intermediate,8,course,web,false,React Docs,https://react.dev/learn,React.js
responsive-web-design-certification,Responsive Web Design Certification,Foundational responsive HTML and CSS skills for web interfaces.,html_css,beginner,15,course,web,false,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/,HTML & CSS
web-security-fundamentals,Web Security Fundamentals,Foundational web security concepts and common application security risks.,auth_security,intermediate,5,course,web,false,OWASP,https://owasp.org/www-project-top-ten/,Authentication & Security Basics
